tensao(temperatura) ,temperatura ,tensão ,corrente
                   2.29e-3  ,      102   ,      0.0658 ,    5.17
                   2.05e-3  ,       91.9 ,      0.0645 ,    5.19
                   1.74e-3  ,       84.0 ,      0.0635 ,    5.21
                   1.43e-3  ,       71.9 ,      0.0629 ,    5.21
                   1.434e-3 ,       63.6 ,      0.0623 ,    5.22
                   0.947e-3 ,       57.5 ,      0.0617 ,    5.23
                   0.717e-3 ,       50   ,      0.0611 ,    5.23
                   0.525e-3 ,       44.3 ,      0.0607 ,    5.24
                   0.336e-3 ,       38.2 ,      0.0602 ,    5.25
                   0.05e-3  ,       27.2 ,      0.0595 ,    5.27
