Indice,Voltagem
0,5.27859
1,6.45161
2,7.72238
3,6.50049
4,4.00782
5,5.47410
6,8.79765
7,9.04203
8,5.86510
9,3.27468
10,5.37634
11,9.04203
12,7.23363
13,2.88368
14,4.88759
15,9.57967
16,8.99316
17,4.30108
18,3.17693
19,7.47801
20,10.26393
21,5.52297
22,2.93255
23,6.79374
24,9.13978
25,6.84262
26,3.37243
27,6.15836
28,9.28641
29,7.57576
30,4.44770
31,4.93646
32,7.77126
33,7.67351
34,5.47410
35,4.78983
36,6.25611
37,7.52688
38,7.42913
39,6.10948
40,5.76735
41,6.45161
42,6.74487
43,6.89150
44,6.06061
45,6.10948
46,5.27859
47,6.35386
48,7.91789
49,7.08700
50,4.88759
51,5.27859
52,7.72238
53,8.65103
54,6.15836
55,3.81232
56,5.18084
57,8.40665
58,8.06452
59,3.95894
60,4.74096
61,9.28641
62,8.69990
63,4.34995
64,3.12805
65,6.59824
66,9.23754
67,6.64712
68,3.03030
69,5.37634
70,9.77517
71,8.79765
72,4.69208
73,3.42131
74,7.03812
75,9.43304
76,6.79374
77,3.71457
78,4.64321
79,7.82014
80,8.35777
81,5.22972
82,4.54545
83,7.13587
84,8.26002
85,6.64712
86,5.32747
87,6.30499
88,6.98925
89,6.10948
90,5.57185
91,6.35386
92,6.30499
93,6.45161
94,7.33138
95,7.28250
96,5.86510
97,5.03421
98,6.30499
99,7.82014
100,6.94037
101,4.44770
102,5.32747
103,7.91789
104,8.69990
105,5.37634
106,3.76344
107,6.79374
108,9.72630
109,7.86901
110,3.95894
111,3.91007
112,7.57576
113,9.92180
114,5.86510
115,2.98143
116,5.03421
117,10.21505
118,8.11339
119,4.10557
120,4.00782
121,8.74878
122,8.79765
123,4.88759
124,3.51906
125,7.42913
126,9.67742
127,7.08700
128,3.71457
129,5.62072
130,8.94428
131,7.67351
132,4.25220
133,5.52297
134,7.33138
135,8.01564
136,6.59824
137,5.62072
138,6.50049
139,7.03812
140,6.54936
141,6.25611
142,6.25611
143,5.86510
144,5.66960
145,7.13587
146,6.64712
147,5.13196
148,5.81623
149,8.21114
150,7.57576
151,4.74096
152,4.74096
153,8.16227
154,8.30889
155,4.98534
156,3.76344
157,7.57576
158,9.92180
159,6.30499
160,2.98143
161,6.89150
162,10.16618
163,7.47801
164,3.12805
165,4.00782
166,8.74878
167,9.09091
168,6.25611
169,3.17693
170,8.11339
171,9.72630
172,5.76735
173,3.32356
174,6.50049
175,9.53079
176,6.84262
177,3.91007
178,4.98534
179,7.28250
180,8.45552
181,5.71847
182,5.32747
183,7.33138
184,7.67351
185,6.30499
186,5.86510
187,6.59824
188,6.50049
189,6.15836
190,6.15836
191,6.74487
192,6.30499
193,5.81623
194,6.64712
195,7.91789
196,6.84262
197,4.88759
198,6.01173
199,7.52688
200,7.47801
201,4.69208
202,4.59433
203,8.60215
204,9.38416
205,5.03421
206,3.76344
207,7.77126
208,9.48192
209,5.27859
210,3.07918
211,5.32747
212,9.48192
213,6.54936
214,3.03030
215,7.33138
216,10.26393
217,6.94037
218,3.22581
219,4.93646
220,9.53079
221,8.16227
222,4.25220
223,4.15445
224,8.60215
225,8.69990
226,5.27859
227,4.44770
228,6.98925
229,8.30889
230,6.20723
231,5.03421
232,6.25611
233,7.18475
234,6.45161
235,6.15836
236,6.25611
237,6.69599
238,6.59824
239,6.89150
240,7.18475
241,6.45161
242,5.66960
243,5.52297
244,6.74487
245,7.13587
246,5.18084
247,5.08309
248,8.21114
249,9.18866
250,7.28250
251,4.25220
252,4.78983
253,9.33529
254,7.91789
255,3.71457
256,3.56794
257,8.89541
258,9.33529
259,4.44770
260,3.51906
261,8.65103
262,9.43304
263,5.37634
264,3.47019
265,7.33138
266,9.18866
267,5.32747
268,3.42131
269,6.79374
270,9.97067
271,7.72238
272,4.93646
273,3.95894
274,7.91789
275,8.40665
276,5.66960
277,4.34995
278,6.30499
279,8.21114
280,6.64712
281,5.32747
282,6.20723
283,7.47801
284,7.03812
285,6.54936
286,6.59824
287,6.25611
288,5.81623
289,6.15836
290,7.72238
291,6.79374
292,5.42522
293,6.54936
294,8.65103
295,7.13587
296,4.59433
297,5.18084
298,8.50440
299,8.35777
300,5.62072
301,3.76344
302,6.50049
303,9.97067
304,7.03812
305,3.32356
306,6.25611
307,10.41056
308,8.74878
309,2.83480
310,5.96285
311,9.33529
312,9.18866
313,4.05670
314,4.78983
315,8.99316
316,9.57967
317,5.91398
318,3.47019
319,6.59824
320,9.33529
321,6.64712
322,3.91007
323,5.27859
324,8.65103
325,8.50440
326,5.18084
327,5.91398
328,8.06452
329,8.01564
330,6.50049
331,5.37634
332,6.35386
333,6.59824
334,7.08700
335,7.03812
336,6.59824
337,5.96285
338,6.50049
339,7.72238
340,7.57576
341,5.32747
342,5.03421
343,7.47801
344,8.01564
345,5.37634
346,4.39883
347,7.08700
348,9.33529
349,6.10948
350,3.51906
351,6.25611
352,10.26393
353,7.23363
354,3.37243
355,4.44770
356,8.79765
357,10.06843
358,5.32747
359,3.03030
360,6.15836
361,10.16618
362,8.55327
363,3.86119
364,4.44770
365,8.89541
366,8.26002
367,4.15445
368,3.95894
369,7.62463
370,9.67742
371,7.62463
372,4.83871
373,5.08309
374,8.79765
375,8.21114
376,4.78983
377,5.52297
378,7.33138
379,7.67351
380,6.64712
381,6.15836
382,6.35386
383,6.74487
384,6.64712
385,6.98925
386,6.74487
387,5.62072
388,5.47410
389,6.64712
390,8.01564
391,6.15836
392,4.93646
393,6.94037
394,9.04203
395,7.03812
396,4.20332
397,5.91398
398,8.65103
399,7.47801
400,3.66569
401,4.20332
402,8.45552
403,10.06843
404,6.64712
405,3.03030
406,6.54936
407,10.26393
408,7.42913
409,3.03030
410,5.03421
411,9.28641
412,9.72630
413,4.88759
414,3.61681
415,8.84653
416,10.06843
417,7.18475
418,3.66569
419,6.10948
420,8.16227
421,7.77126
422,4.44770
423,4.83871
424,7.52688
425,8.30889
426,6.40274
427,5.66960
428,6.59824
429,7.52688
430,6.84262
431,6.35386
432,6.54936
433,6.25611
434,6.25611
435,7.38025
436,6.84262
437,5.86510
438,6.25611
439,8.11339
440,7.91789
