Indice,Voltagem
0,0.24438
1,1.02639
2,2.39492
3,1.85728
4,0.43988
5,0.43988
6,1.85728
7,2.39492
8,1.12414
9,0.29326
10,0.87977
11,1.85728
12,1.51515
13,0.43988
14,0.34213
15,1.56403
16,2.34604
17,1.71065
18,0.29326
19,0.78201
20,2.10166
21,2.10166
22,0.63539
23,0.39101
24,1.66178
25,2.39492
26,1.31965
27,0.34213
28,0.92864
29,1.61290
30,1.75953
31,0.53763
32,0.39101
33,1.51515
34,2.05279
35,1.36852
36,0.29326
37,0.92864
38,2.19941
39,1.90616
40,0.63539
41,0.24438
42,1.31965
43,2.39492
44,2.00391
45,0.29326
46,0.97752
47,2.49267
48,1.51515
49,0.53763
50,0.29326
51,1.22190
52,2.05279
53,0.83089
54,0.29326
55,1.02639
56,2.24829
57,1.85728
58,1.02639
59,0.24438
60,0.92864
61,2.24829
62,2.15054
63,0.83089
64,0.48876
65,2.19941
66,1.85728
67,1.07527
68,0.24438
69,0.53763
70,1.80841
71,1.75953
72,0.83089
73,0.39101
74,1.75953
75,2.10166
76,1.27077
77,0.48876
78,0.48876
79,1.31965
80,2.29717
81,2.19941
82,0.48876
83,1.02639
84,2.44379
85,1.85728
86,0.92864
87,0.24438
88,0.78201
89,1.95503
90,1.51515
91,0.43988
92,0.53763
93,1.90616
94,2.00391
95,0.39101
96,0.83089
97,2.19941
98,2.05279
99,0.78201
100,0.24438
101,0.43988
102,1.80841
103,2.05279
104,0.92864
105,0.19550
106,1.27077
107,2.10166
108,1.31965
109,0.34213
110,0.87977
111,1.61290
112,2.29717
113,1.36852
114,0.29326
115,1.66178
116,2.49267
117,2.10166
118,0.58651
119,0.73314
120,2.10166
121,2.59042
122,0.83089
123,0.24438
124,0.97752
125,2.05279
126,1.75953
127,0.92864
128,0.43988
129,1.80841
130,2.24829
131,1.31965
132,0.29326
133,1.17302
134,2.34604
135,2.44379
136,1.07527
137,0.48876
138,1.51515
139,2.63930
140,1.22190
141,0.39101
142,0.29326
143,1.56403
144,2.10166
145,0.78201
146,0.24438
147,1.22190
148,2.24829
149,1.02639
150,0.29326
151,1.12414
152,2.29717
153,2.29717
154,1.31965
155,0.39101
156,0.87977
157,2.24829
158,1.75953
159,0.58651
160,0.29326
161,1.61290
162,2.10166
163,0.97752
164,0.39101
165,0.43988
166,1.71065
167,2.34604
168,1.56403
169,0.24438
170,1.17302
171,2.29717
172,2.15054
173,0.48876
174,1.36852
175,2.63930
176,1.61290
177,0.24438
178,0.87977
179,1.95503
180,1.56403
181,0.39101
182,0.63539
183,2.15054
184,2.44379
185,1.41740
186,0.34213
187,0.48876
188,1.95503
189,2.44379
190,2.05279
191,0.29326
192,1.12414
193,2.63930
194,2.05279
195,0.53763
196,0.43988
197,1.71065
198,1.61290
199,0.29326
200,0.58651
201,1.85728
202,2.34604
203,1.41740
204,0.34213
205,0.92864
206,2.24829
207,2.49267
208,1.22190
209,0.24438
210,0.87977
211,2.54154
212,1.85728
213,0.29326
214,0.29326
215,0.87977
216,2.15054
217,1.22190
218,0.43988
219,0.43988
220,2.19941
221,2.15054
222,0.68426
223,0.34213
224,2.10166
225,2.34604
226,0.92864
227,0.29326
228,0.68426
229,2.34604
230,2.44379
231,0.24438
232,1.07527
233,2.05279
234,1.46628
235,0.39101
236,0.48876
237,2.10166
238,2.34604
239,0.78201
240,0.24438
241,1.27077
242,2.29717
243,1.85728
244,0.78201
245,0.68426
246,2.24829
247,2.44379
248,1.07527
249,0.34213
250,0.97752
251,2.00391
252,1.71065
253,0.68426
254,0.29326
255,0.83089
256,2.49267
257,1.46628
258,0.34213
259,0.39101
260,1.95503
261,2.44379
262,1.12414
263,0.43988
264,0.68426
265,2.49267
266,2.59042
267,1.56403
268,0.24438
269,0.78201
270,2.00391
271,1.07527
272,0.29326
273,0.68426
274,1.46628
275,2.39492
276,0.78201
277,0.39101
278,2.29717
279,2.15054
280,0.39101
281,0.53763
282,2.34604
283,1.95503
284,0.63539
285,0.63539
286,1.66178
287,2.00391
288,0.87977
289,0.24438
290,1.17302
291,2.15054
292,1.75953
293,0.39101
294,0.63539
295,1.80841
296,2.54154
297,1.56403
298,0.39101
299,0.48876
300,1.66178
301,2.63930
302,2.05279
303,0.53763
304,0.78201
305,1.85728
306,2.00391
307,1.71065
308,0.29326
309,0.43988
310,1.80841
311,2.24829
312,1.36852
313,0.34213
314,1.90616
315,2.29717
316,0.78201
317,0.29326
318,1.31965
319,2.54154
320,2.34604
321,1.22190
322,0.34213
323,1.17302
324,2.15054
325,1.75953
326,0.58651
327,0.34213
328,1.56403
329,2.54154
330,1.41740
331,0.39101
332,0.43988
333,2.24829
334,2.34604
335,0.53763
336,0.68426
337,2.34604
338,2.10166
339,0.53763
340,1.07527
341,2.73705
342,1.71065
343,0.34213
344,0.29326
345,1.31965
346,2.19941
347,1.66178
348,0.43988
349,0.39101
350,1.56403
351,1.80841
352,0.58651
353,0.43988
354,1.27077
355,2.39492
356,2.24829
357,1.27077
358,0.34213
359,1.66178
360,2.73705
361,1.95503
362,0.78201
363,0.29326
364,0.92864
365,2.19941
366,2.00391
367,0.58651
368,0.58651
369,2.19941
370,2.10166
371,0.58651
372,0.39101
373,1.56403
374,2.63930
375,1.90616
376,0.29326
377,1.17302
378,2.63930
379,1.71065
380,0.43988
381,1.07527
382,2.19941
383,1.61290
384,0.39101
385,0.87977
386,2.54154
387,1.90616
388,0.68426
389,0.39101
390,2.19941
391,2.34604
392,0.83089
393,0.34213
394,1.66178
395,2.49267
396,2.68817
397,1.31965
398,0.24438
399,0.43988
400,1.12414
401,2.19941
402,1.56403
403,0.39101
404,0.43988
405,1.71065
406,2.49267
407,2.34604
408,1.31965
409,0.29326
410,1.51515
411,2.59042
412,1.95503
413,0.29326
414,0.43988
415,2.49267
416,2.44379
417,0.43988
418,0.29326
419,0.73314
420,2.15054
421,1.51515
422,0.29326
423,1.17302
424,2.44379
425,1.12414
426,0.43988
427,0.34213
428,1.71065
429,2.63930
430,1.80841
431,0.34213
432,1.41740
433,2.39492
434,2.68817
435,0.92864
436,0.68426
437,2.19941
438,2.10166
439,0.63539
440,0.29326
441,1.56403
442,2.59042
443,1.56403
444,0.34213
445,0.58651
446,2.49267
447,2.68817
448,1.41740
449,0.34213
450,1.95503
451,2.59042
452,1.17302
453,0.34213
454,1.17302
455,1.90616
456,2.05279
457,0.97752
458,0.29326
459,1.12414
460,2.68817
461,1.36852
462,0.24438
463,0.43988
464,1.36852
465,2.68817
466,2.05279
467,0.58651
468,0.58651
469,1.75953
470,2.68817
471,1.07527
472,0.29326
473,0.87977
474,2.19941
475,1.41740
476,0.43988
477,0.39101
478,1.75953
479,2.54154
480,1.46628
481,0.29326
482,0.78201
483,2.59042
484,2.10166
485,0.48876
486,0.92864
487,2.19941
488,2.68817
489,1.07527
490,0.34213
491,1.46628
492,1.85728
493,1.95503
494,1.46628
495,0.43988
496,0.87977
497,2.78592
498,2.24829
499,0.48876
500,0.87977
501,2.39492
502,1.80841
503,0.43988
504,0.43988
505,1.85728
506,2.73705
507,2.00391
508,0.73314
509,0.43988
510,1.75953
511,2.15054
512,0.87977
513,0.34213
514,1.85728
515,2.78592
516,1.85728
517,0.34213
518,0.92864
519,2.39492
520,2.34604
