Indice,Voltagem
0,8.50440
1,8.40665
2,7.57576
3,7.38025
4,7.86901
5,8.11339
6,7.96676
7,7.86901
8,7.42913
9,7.38025
10,9.18866
11,9.18866
12,7.57576
13,6.74487
14,8.94428
15,10.45943
16,7.96676
17,6.01173
18,8.94428
19,10.65494
20,8.26002
21,5.03421
22,8.01564
23,11.43695
24,7.13587
25,4.83871
26,5.86510
27,8.30889
28,11.33920
29,6.50049
30,5.62072
31,10.26393
32,10.65494
33,7.23363
34,4.88759
35,7.96676
36,10.60606
37,8.45552
38,5.76735
39,6.84262
40,9.82405
41,10.31280
42,7.72238
43,6.45161
44,8.06452
45,9.87292
46,9.48192
47,7.72238
48,7.42913
49,8.26002
50,9.04203
51,8.79765
52,7.96676
53,7.62463
54,8.50440
55,9.53079
56,9.13978
57,7.52688
58,6.79374
59,8.45552
60,8.69990
61,6.74487
62,6.59824
63,8.74878
64,9.23754
65,7.08700
66,5.81623
67,8.84653
68,10.99707
69,8.84653
70,5.76735
71,7.18475
72,10.94819
73,10.11730
74,6.35386
75,6.01173
76,9.67742
77,11.38807
78,8.74878
79,5.62072
80,7.28250
81,10.80156
82,10.06843
83,5.91398
84,6.84262
85,10.16618
86,10.21505
87,7.28250
88,5.76735
89,7.86901
90,10.11730
91,7.86901
92,6.25611
93,7.28250
94,9.09091
95,9.62854
96,7.77126
97,6.98925
98,7.77126
99,9.23754
100,9.23754
101,8.06452
102,7.03812
103,7.77126
104,9.53079
105,9.62854
106,8.01564
107,6.40274
108,7.47801
109,9.87292
110,10.01955
111,6.94037
112,5.96285
113,9.13978
114,11.33920
115,8.55327
116,5.47410
117,5.86510
118,10.06843
119,8.94428
120,5.27859
121,5.91398
122,9.28641
123,10.26393
124,7.18475
125,5.37634
126,7.42913
127,11.24145
128,9.09091
129,5.81623
130,7.03812
131,10.45943
132,10.31280
133,7.18475
134,6.64712
135,9.72630
136,9.92180
137,7.62463
138,7.03812
139,8.99316
140,9.57967
141,8.35777
142,7.28250
143,7.52688
144,8.69990
145,8.74878
146,7.91789
147,7.57576
148,7.96676
149,8.21114
150,8.30889
151,8.01564
152,7.42913
153,7.52688
154,9.13978
155,9.13978
156,7.47801
157,6.74487
158,9.28641
159,9.92180
160,7.03812
161,6.30499
162,9.28641
163,10.99707
164,7.86901
165,5.32747
166,8.06452
167,11.68133
168,9.33529
169,5.13196
170,7.28250
171,11.63245
172,10.99707
173,6.69599
174,5.03421
175,7.33138
176,10.55718
177,9.77517
178,5.96285
179,5.18084
180,8.21114
181,10.31280
182,8.84653
183,5.81623
184,5.86510
185,8.45552
186,10.50831
187,8.40665
188,6.50049
189,7.67351
190,9.53079
191,9.43304
192,7.91789
193,7.28250
194,8.16227
195,9.18866
196,9.13978
197,8.06452
198,7.23363
199,8.21114
200,9.43304
201,8.55327
202,7.18475
203,6.89150
204,9.33529
205,9.62854
206,7.28250
207,6.35386
208,8.55327
209,10.21505
210,8.30889
211,5.91398
212,6.98925
213,9.97067
214,9.33529
215,6.25611
216,6.15836
217,9.23754
218,10.75269
219,7.47801
220,5.62072
221,8.74878
222,11.29032
223,9.57967
224,6.94037
225,5.42522
226,9.33529
227,11.29032
228,8.65103
229,5.42522
230,8.74878
231,10.94819
232,9.82405
233,6.74487
234,6.15836
235,9.09091
236,9.67742
237,8.11339
238,6.20723
239,6.79374
240,8.69990
241,8.84653
242,7.77126
243,6.84262
244,7.38025
245,8.35777
246,8.50440
247,8.65103
248,7.08700
249,7.77126
250,9.92180
251,9.53079
252,6.98925
253,6.69599
254,9.04203
255,10.85044
256,9.38416
257,6.06061
258,6.59824
259,9.97067
260,11.09482
261,7.96676
262,5.22972
263,7.86901
264,10.89932
265,10.16618
266,6.94037
267,4.98534
268,8.94428
269,10.75269
270,6.89150
271,5.18084
272,8.30889
273,10.55718
274,8.16227
275,5.37634
276,8.16227
277,10.75269
278,8.06452
279,5.96285
280,7.62463
281,10.06843
282,9.57967
283,7.33138
284,6.84262
285,8.74878
286,9.72630
287,8.16227
288,7.18475
289,8.11339
290,9.09091
291,8.74878
292,8.16227
293,7.82014
294,8.21114
295,8.84653
296,9.23754
297,8.69990
298,7.86901
299,7.52688
300,8.11339
301,8.40665
302,7.23363
303,6.74487
304,8.30889
305,9.33529
306,7.82014
307,5.96285
308,7.57576
309,9.97067
310,9.38416
311,5.76735
312,7.33138
313,11.19257
314,10.60606
315,5.96285
316,5.86510
317,9.97067
318,11.68133
319,8.01564
320,5.03421
321,7.96676
322,11.43695
323,10.21505
324,6.25611
325,5.81623
326,9.67742
327,10.45943
328,7.42913
329,5.81623
330,7.67351
331,9.97067
332,9.53079
333,7.18475
334,6.59824
335,7.96676
336,9.18866
337,8.60215
338,7.33138
339,7.42913
340,8.79765
341,9.28641
342,8.60215
343,7.47801
344,7.62463
345,8.84653
346,9.57967
347,8.45552
348,6.98925
349,7.67351
350,9.67742
351,9.82405
352,7.47801
353,6.40274
354,8.65103
355,10.55718
356,8.79765
357,6.06061
358,7.38025
359,10.60606
360,9.72630
361,6.15836
362,6.30499
363,9.18866
364,9.48192
365,6.59824
366,5.42522
367,8.06452
368,10.06843
369,8.11339
370,5.42522
371,6.64712
372,9.92180
373,10.41056
374,6.84262
375,6.10948
376,9.62854
377,10.85044
378,8.30889
379,6.25611
380,7.86901
381,10.31280
382,10.11730
383,8.06452
384,6.79374
385,8.30889
386,9.77517
387,9.18866
388,7.77126
389,7.33138
390,8.30889
391,9.18866
392,8.89541
393,7.72238
394,7.13587
395,8.11339
396,9.53079
397,8.35777
398,6.30499
399,7.13587
400,9.48192
401,9.97067
402,7.33138
403,5.62072
404,8.26002
405,10.99707
406,9.43304
407,5.91398
408,5.96285
409,10.26393
410,10.65494
411,6.84262
412,5.18084
413,8.11339
414,11.48583
415,9.87292
416,5.76735
417,6.10948
418,9.53079
419,11.24145
420,7.13587
421,5.96285
422,8.69990
423,11.14369
424,8.79765
425,6.35386
426,7.18475
427,9.13978
428,9.18866
429,7.23363
430,6.69599
431,8.55327
432,8.74878
433,7.28250
434,7.08700
435,7.82014
436,8.35777
437,7.86901
438,8.35777
439,7.86901
440,8.30889
441,9.04203
442,9.04203
443,8.45552
444,7.42913
445,7.96676
446,9.67742
447,8.94428
448,6.84262
449,7.57576
450,10.11730
451,8.65103
452,6.30499
453,6.84262
454,10.01955
455,9.72630
456,6.54936
457,5.81623
458,9.23754
459,10.89932
460,8.21114
461,5.18084
462,7.52688
463,10.89932
464,9.53079
465,5.57185
466,5.91398
467,9.72630
468,10.65494
469,7.42913
470,5.37634
471,6.89150
472,10.75269
473,11.14369
474,8.35777
475,5.76735
476,9.09091
477,10.70381
478,8.60215
479,6.54936
480,7.52688
481,9.43304
482,9.87292
483,8.40665
484,7.23363
485,8.11339
486,9.33529
487,9.48192
488,8.30889
489,7.42913
490,8.21114
491,8.50440
492,8.69990
493,7.52688
494,6.45161
495,7.52688
496,9.23754
497,8.65103
498,6.30499
499,6.69599
500,9.28641
501,9.23754
502,6.15836
503,6.84262
504,10.45943
505,10.50831
506,7.08700
507,5.91398
508,8.50440
509,11.19257
510,9.97067
511,6.40274
512,6.64712
513,10.11730
514,10.94819
515,8.35777
516,5.81623
517,8.69990
518,10.80156
519,7.96676
520,5.96285
521,7.18475
522,9.82405
523,9.87292
524,7.03812
525,6.35386
526,8.30889
527,9.72630
528,8.35777
529,6.64712
530,7.23363
531,8.55327
532,8.94428
533,8.06452
534,7.13587
535,7.67351
536,8.89541
537,9.23754
538,8.35777
539,7.38025
540,7.23363
541,8.30889
542,9.62854
543,9.04203
544,6.98925
545,6.50049
546,9.13978
547,10.36168
548,7.62463
549,5.91398
550,7.47801
551,10.85044
552,9.82405
553,6.74487
554,5.62072
555,10.06843
556,11.73021
557,7.42913
558,5.08309
559,7.77126
560,10.60606
561,8.06452
562,5.18084
563,7.47801
564,10.06843
565,9.77517
566,6.40274
567,6.01173
568,9.28641
569,9.92180
570,8.55327
571,6.15836
572,7.52688
573,9.92180
574,10.21505
575,8.16227
576,7.03812
577,8.50440
578,9.67742
579,8.55327
580,7.52688
581,8.11339
582,8.89541
583,8.84653
584,8.26002
585,7.77126
586,7.86901
587,8.60215
588,8.94428
589,8.50440
590,7.42913
591,7.57576
592,8.94428
593,8.99316
594,7.13587
595,7.08700
596,9.48192
597,9.67742
598,7.82014
599,6.06061
600,7.67351
601,10.80156
602,9.28641
603,6.30499
604,6.84262
605,10.80156
606,10.26393
607,5.96285
608,6.35386
609,10.06843
610,11.48583
611,7.77126
612,5.13196
613,8.55327
614,11.53470
615,9.43304
616,5.66960
617,6.45161
618,10.11730
619,10.99707
620,8.65103
621,5.71847
622,6.89150
623,9.57967
624,10.65494
625,6.69599
626,5.96285
627,6.94037
628,8.69990
629,8.55327
630,6.94037
631,6.89150
632,7.86901
633,8.40665
634,7.91789
