Indice,Voltagem
0,2.19941
1,1.41740
2,0.92864
3,1.66178
4,2.29717
5,1.90616
6,1.07527
7,1.27077
8,2.24829
9,2.24829
10,1.22190
11,1.07527
12,2.10166
13,2.39492
14,1.41740
15,0.92864
16,1.71065
17,2.34604
18,1.56403
19,0.92864
20,1.80841
21,2.49267
22,1.71065
23,0.92864
24,1.41740
25,2.44379
26,2.10166
27,1.02639
28,1.31965
29,2.24829
30,2.00391
31,1.02639
32,1.27077
33,2.34604
34,2.24829
35,1.31965
36,1.07527
37,2.10166
38,2.39492
39,1.36852
40,1.02639
41,1.95503
42,2.39492
43,1.61290
44,0.87977
45,1.27077
46,2.34604
47,2.29717
48,1.22190
49,1.12414
50,2.10166
51,2.49267
52,1.27077
53,1.22190
54,2.00391
55,2.39492
56,1.56403
57,0.92864
58,1.85728
59,2.54154
60,1.75953
61,0.97752
62,1.61290
63,2.49267
64,1.95503
65,1.12414
66,1.27077
67,2.24829
68,2.34604
69,1.17302
70,1.02639
71,2.10166
72,2.44379
73,1.41740
74,0.97752
75,1.95503
76,2.54154
77,1.56403
78,0.97752
79,1.85728
80,2.54154
81,1.66178
82,0.92864
83,1.56403
84,2.49267
85,2.10166
86,1.12414
87,1.31965
88,2.29717
89,2.44379
90,1.36852
91,1.07527
92,2.19941
93,2.54154
94,1.95503
95,1.02639
96,1.41740
97,2.44379
98,2.05279
99,1.07527
100,1.56403
101,2.54154
102,2.15054
103,1.07527
104,1.41740
105,2.44379
106,2.39492
107,1.41740
108,0.92864
109,1.66178
110,2.54154
111,2.19941
112,1.07527
113,1.51515
114,2.54154
115,2.19941
116,1.07527
117,1.41740
118,2.44379
119,2.39492
120,1.17302
121,0.97752
122,2.05279
123,2.49267
124,1.56403
125,1.07527
126,2.19941
127,2.59042
128,1.66178
129,1.12414
130,2.29717
131,2.44379
132,1.46628
133,1.02639
134,1.75953
135,2.49267
136,1.51515
137,1.22190
138,2.34604
139,2.59042
140,1.41740
141,1.12414
142,2.19941
143,2.54154
144,1.46628
145,1.02639
146,1.66178
147,2.49267
148,2.05279
149,1.12414
150,1.31965
151,2.54154
152,2.59042
153,1.46628
154,1.02639
155,2.19941
156,2.63930
157,1.46628
158,1.12414
159,2.00391
160,2.59042
161,1.56403
162,0.97752
163,1.75953
164,2.73705
165,2.10166
166,1.07527
167,1.41740
168,2.49267
169,2.19941
170,1.12414
171,1.51515
172,2.59042
173,2.19941
174,1.17302
175,1.36852
176,2.68817
177,2.00391
178,1.07527
179,1.90616
180,2.73705
181,2.24829
182,1.12414
183,1.31965
184,2.63930
185,2.39492
186,1.36852
187,1.07527
188,2.29717
189,2.63930
190,1.71065
191,1.12414
192,2.34604
193,2.68817
194,1.71065
195,1.07527
196,1.46628
197,2.54154
198,2.54154
199,1.31965
200,1.22190
201,2.49267
202,2.29717
203,1.27077
204,1.17302
205,2.19941
206,2.73705
207,1.66178
208,1.17302
209,2.15054
210,2.83480
211,1.80841
212,1.02639
213,1.80841
214,2.59042
215,2.24829
216,1.07527
217,2.05279
218,2.73705
219,2.24829
220,1.17302
221,1.61290
222,2.78592
223,2.05279
224,1.07527
225,1.90616
226,2.68817
227,2.05279
228,1.07527
229,1.41740
230,2.73705
231,2.44379
232,1.22190
233,1.27077
234,2.49267
235,2.78592
236,1.80841
237,1.17302
238,2.39492
239,2.68817
240,1.51515
241,1.07527
242,1.80841
243,2.73705
244,2.39492
245,1.17302
246,1.56403
247,2.83480
248,2.29717
249,1.17302
250,1.61290
251,2.73705
252,2.49267
253,1.36852
254,1.22190
255,2.34604
256,2.83480
257,1.71065
258,1.12414
259,1.95503
260,2.88368
261,2.00391
262,1.12414
263,1.66178
264,2.68817
265,2.68817
266,1.90616
267,1.07527
268,2.39492
269,2.78592
270,1.85728
271,1.12414
272,2.39492
273,2.83480
274,1.66178
275,1.12414
276,2.44379
277,2.93255
278,1.80841
279,1.07527
280,2.19941
281,2.83480
282,2.10166
283,1.12414
284,1.75953
285,2.83480
286,2.63930
287,1.22190
288,1.51515
289,2.59042
290,2.73705
291,1.36852
292,1.31965
293,2.59042
294,2.39492
295,1.31965
296,1.41740
297,2.44379
298,2.88368
299,1.51515
300,1.31965
301,2.54154
302,2.78592
303,1.61290
304,1.17302
305,1.56403
306,2.73705
307,2.34604
308,1.27077
309,1.46628
310,2.83480
311,2.44379
312,1.17302
313,1.46628
314,2.73705
315,2.88368
316,1.95503
317,1.22190
318,2.29717
319,2.68817
320,1.41740
321,1.27077
322,2.49267
323,2.73705
324,1.51515
325,1.36852
326,2.59042
327,2.78592
328,1.56403
329,1.17302
330,2.34604
331,2.93255
332,1.75953
333,1.12414
334,1.95503
335,2.93255
336,2.59042
337,2.29717
338,1.22190
339,2.19941
340,2.93255
341,1.46628
342,1.36852
343,2.59042
344,3.03030
345,2.49267
346,1.27077
347,1.17302
348,2.88368
349,1.75953
350,1.27077
351,2.00391
352,3.07918
353,2.05279
354,1.12414
355,2.10166
356,2.98143
357,2.68817
358,1.31965
359,1.41740
360,2.63930
361,2.39492
362,1.27077
363,1.56403
364,2.93255
365,2.78592
366,1.36852
367,1.51515
368,2.78592
369,2.68817
370,1.41740
371,1.46628
372,2.83480
373,2.83480
374,1.66178
375,1.27077
376,2.29717
377,3.07918
378,2.83480
379,1.36852
380,1.61290
381,2.88368
382,2.78592
383,1.46628
384,1.36852
385,2.59042
386,2.83480
387,1.61290
388,1.36852
389,2.54154
390,3.03030
391,1.95503
392,1.22190
393,2.24829
394,3.03030
395,1.90616
396,1.27077
397,2.78592
398,3.12805
399,2.59042
400,1.80841
401,1.17302
402,1.85728
403,2.98143
404,2.34604
405,1.27077
406,2.54154
407,3.12805
408,1.56403
409,1.41740
410,2.83480
411,2.88368
412,1.61290
413,1.22190
414,2.44379
415,2.93255
416,1.51515
417,1.22190
418,2.44379
419,3.07918
420,1.85728
421,1.22190
422,2.00391
423,3.12805
424,2.10166
425,1.22190
426,2.10166
427,3.12805
428,2.34604
429,1.17302
430,1.61290
431,2.63930
432,3.17693
433,1.66178
434,1.22190
435,2.29717
436,3.12805
437,2.19941
438,1.22190
439,2.10166
440,3.17693
441,2.39492
442,1.85728
443,1.17302
444,3.12805
445,2.54154
446,1.22190
447,1.71065
448,3.03030
449,3.03030
450,1.56403
451,1.31965
452,2.59042
453,2.83480
454,1.56403
455,1.46628
456,2.78592
457,2.63930
458,1.61290
459,1.90616
460,3.22581
461,2.68817
462,1.41740
463,2.00391
464,3.17693
465,2.24829
466,1.27077
467,2.49267
468,3.12805
469,1.75953
470,1.17302
471,1.80841
472,3.12805
473,2.54154
474,1.46628
475,1.41740
476,2.63930
477,2.83480
478,1.46628
479,1.31965
480,2.88368
481,3.27468
482,2.34604
483,1.41740
484,2.88368
485,2.93255
486,2.00391
487,1.27077
488,2.59042
489,3.07918
490,1.95503
491,1.27077
492,1.66178
493,3.17693
494,2.59042
495,1.36852
496,1.75953
497,3.17693
