Indice,Voltagem
0,0.538
1,0.635
2,0.733
3,0.880
4,0.880
5,0.782
6,0.635
7,0.538
8,0.489
9,0.635
10,0.831
11,1.026
12,0.978
13,0.831
14,0.635
15,0.440
16,0.342
17,0.440
18,0.684
19,0.978
20,1.124
21,1.026
22,0.880
23,0.684
24,0.440
25,0.244
26,0.342
27,0.538
28,0.880
29,1.075
30,1.222
31,1.075
32,0.733
33,0.391
34,0.244
35,0.196
36,0.440
37,0.831
38,1.173
39,1.222
40,1.173
41,0.880
42,0.489
43,0.196
44,0.098
45,0.391
46,0.782
47,1.173
48,1.320
49,1.222
50,0.929
51,0.538
52,0.196
53,0.049
54,0.098
55,0.391
56,0.733
57,1.075
58,1.369
59,1.320
60,1.026
61,0.587
62,0.147
63,0.049
64,0.049
65,0.440
66,0.880
67,1.222
68,1.369
69,1.173
70,0.831
71,0.391
72,0.098
73,0.049
74,0.244
75,0.684
76,1.124
77,1.417
78,1.271
79,1.026
80,0.635
81,0.196
82,0.049
83,0.244
84,0.635
85,1.075
86,1.320
87,1.271
88,1.124
89,0.733
90,0.293
91,0.098
92,0.244
93,0.587
94,0.635
95,1.075
96,1.173
97,1.222
98,0.880
99,0.733
100,0.391
101,0.196
102,0.244
103,0.440
104,0.733
105,1.026
106,1.173
107,1.124
108,0.831
109,0.538
110,0.293
111,0.342
112,0.489
113,0.684
114,0.880
115,1.075
116,1.124
117,0.978
118,0.733
119,0.440
120,0.342
121,0.440
122,0.635
123,0.831
124,0.978
125,1.026
126,0.929
127,0.733
128,0.538
129,0.440
130,0.489
131,0.587
132,0.831
133,0.880
134,0.880
135,0.782
136,0.635
137,0.587
138,0.587
139,0.635
140,0.684
141,0.782
142,0.880
143,0.782
144,0.684
145,0.587
146,0.587
147,0.635
148,0.733
149,0.880
150,0.831
151,0.782
152,0.635
153,0.538
154,0.538
155,0.635
156,0.831
157,0.929
158,0.978
159,0.880
160,0.684
161,0.538
162,0.440
163,0.440
164,0.684
165,0.831
166,1.075
167,1.075
168,0.880
169,0.635
170,0.391
171,0.293
172,0.342
173,0.538
174,0.831
175,1.026
176,1.173
177,1.075
178,0.880
179,0.587
180,0.293
181,0.196
182,0.342
183,0.684
184,1.026
185,1.173
186,1.222
187,1.075
188,0.782
189,0.440
190,0.196
191,0.147
192,0.244
193,0.635
194,0.978
195,1.222
196,1.369
197,1.124
198,0.684
199,0.244
200,0.098
201,0.098
202,0.440
203,0.880
204,1.271
205,1.369
206,1.222
207,0.831
208,0.440
209,0.049
210,0.049
211,0.244
212,0.635
213,1.026
214,1.271
215,1.417
216,1.222
217,0.978
218,0.391
219,0.000
220,0.196
221,0.587
222,1.124
223,1.369
224,1.320
225,1.075
226,0.880
227,0.342
228,0.049
229,0.098
230,0.342
231,0.782
232,1.026
233,1.369
234,1.320
235,0.929
236,0.587
237,0.196
238,0.049
239,0.196
240,0.440
241,0.929
242,1.271
243,1.320
244,1.173
245,0.929
246,0.440
247,0.244
248,0.147
249,0.342
250,0.782
251,1.026
252,1.222
253,1.124
254,0.831
255,0.489
256,0.293
257,0.244
258,0.440
259,0.831
260,1.075
261,1.124
262,0.978
263,0.684
264,0.391
265,0.293
266,0.440
267,0.635
268,0.880
269,1.026
270,1.026
271,0.929
272,0.733
273,0.489
274,0.440
275,0.489
276,0.684
277,0.831
278,0.929
279,0.880
280,0.831
281,0.684
282,0.538
283,0.538
284,0.635
285,0.733
286,0.831
287,0.880
288,0.782
289,0.684
290,0.587
291,0.635
292,0.587
293,0.684
294,0.782
295,0.880
296,0.880
297,0.733
298,0.635
299,0.587
300,0.538
301,0.684
302,0.831
303,0.880
304,0.929
305,0.831
306,0.684
307,0.538
308,0.391
309,0.489
310,0.684
311,0.782
312,0.978
313,1.026
314,1.026
315,0.831
316,0.635
317,0.391
318,0.342
319,0.391
320,0.635
321,0.929
322,1.075
323,1.075
324,0.929
325,0.635
326,0.342
327,0.244
328,0.293
329,0.489
330,0.929
331,1.222
332,1.271
333,0.978
334,0.635
335,0.293
336,0.147
337,0.342
338,0.635
339,1.026
340,1.320
341,1.320
342,1.026
343,0.684
344,0.293
345,0.098
346,0.098
347,0.440
348,0.831
349,1.173
350,1.417
351,1.320
352,1.075
353,0.733
354,0.293
355,0.049
356,0.098
357,0.489
358,0.880
359,1.271
360,1.417
361,1.271
362,0.880
363,0.440
364,0.147
365,0.000
366,0.342
367,0.978
368,1.271
369,1.417
370,1.222
371,0.733
372,0.391
373,0.147
374,0.049
375,0.244
376,0.782
377,1.124
378,1.369
379,1.320
380,1.075
381,0.538
382,0.244
383,0.049
384,0.196
385,0.489
386,0.978
387,1.271
388,1.369
389,1.075
390,0.733
391,0.342
392,0.098
393,0.196
394,0.391
395,0.733
396,1.124
397,1.271
398,1.173
399,0.880
400,0.440
401,0.196
402,0.244
403,0.440
404,0.782
405,1.124
406,1.222
407,1.026
408,0.782
409,0.489
410,0.342
411,0.293
412,0.391
413,0.733
414,0.978
415,1.075
416,1.026
417,0.978
418,0.831
419,0.635
420,0.489
421,0.440
422,0.489
423,0.587
424,0.831
425,0.978
426,0.929
427,0.880
428,0.733
429,0.587
430,0.538
431,0.538
432,0.635
433,0.782
434,0.929
435,0.880
436,0.782
437,0.684
438,0.587
439,0.587
440,0.635
441,0.684
442,0.831
443,0.880
444,0.831
445,0.733
446,0.635
447,0.587
448,0.587
449,0.782
450,0.831
451,0.880
452,0.880
453,0.733
454,0.587
455,0.489
456,0.489
457,0.635
458,0.831
459,0.978
460,0.978
461,0.880
462,0.635
463,0.440
464,0.391
465,0.391
466,0.587
467,0.880
468,1.075
469,1.173
470,1.124
471,0.880
472,0.635
473,0.293
474,0.293
475,0.391
476,0.733
477,0.929
478,1.222
479,1.173
480,0.978
481,0.587
482,0.293
483,0.196
484,0.293
485,0.635
486,0.978
487,1.222
488,1.271
489,1.026
490,0.587
491,0.244
492,0.147
493,0.196
494,0.684
495,1.075
496,1.369
497,1.271
498,0.929
499,0.489
500,0.196
501,0.049
502,0.147
503,0.538
504,0.978
505,1.271
506,1.417
507,1.222
508,0.782
509,0.293
510,0.098
511,0.049
512,0.342
513,0.831
514,1.124
515,1.417
516,1.320
517,1.026
518,0.587
519,0.147
520,0.049
521,0.342
522,0.782
523,1.222
524,1.369
525,1.271
526,0.880
527,0.489
528,0.098
529,0.049
530,0.342
531,0.782
532,1.222
533,1.369
534,1.271
535,0.978
536,0.538
537,0.196
538,0.147
539,0.391
540,0.782
541,1.124
542,1.320
543,1.222
544,0.880
545,0.489
546,0.196
547,0.244
548,0.440
549,0.831
550,1.124
551,1.222
552,1.026
553,0.733
554,0.489
555,0.293
556,0.342
557,0.538
558,0.831
559,1.026
560,1.124
561,1.026
562,0.782
563,0.538
564,0.440
565,0.440
566,0.684
567,0.831
568,1.026
569,1.026
570,0.929
571,0.782
572,0.635
573,0.489
574,0.538
575,0.635
576,0.782
577,0.880
578,0.929
579,0.880
580,0.782
581,0.684
582,0.587
583,0.587
584,0.635
585,0.733
586,0.831
587,0.880
588,0.880
589,0.831
590,0.684
591,0.538
592,0.587
593,0.684
594,0.782
595,0.929
596,0.880
597,0.733
598,0.635
599,0.538
600,0.489
601,0.587
602,0.733
603,0.880
604,0.978
605,0.978
606,0.880
607,0.684
608,0.489
609,0.391
610,0.489
611,0.635
612,0.929
613,1.075
614,1.075
615,0.880
616,0.587
617,0.440
618,0.293
619,0.244
620,0.440
621,0.684
622,0.978
623,1.173
624,1.173
625,0.880
626,0.440
627,0.244
628,0.244
629,0.587
630,0.880
631,1.173
632,1.271
633,1.173
634,0.929
635,0.587
636,0.244
637,0.196
638,0.489
639,0.782
640,1.173
641,1.320
642,1.124
643,0.831
644,0.489
645,0.244
646,0.049
647,0.147
648,0.489
649,0.831
650,1.271
651,1.320
652,1.173
653,0.733
654,0.489
655,0.147
656,0.049
657,0.196
658,0.635
659,1.124
660,1.369
661,1.320
662,1.124
663,0.635
664,0.196
665,0.049
666,0.293
667,0.831
668,1.075
669,1.369
670,1.271
671,0.880
672,0.391
673,0.098
674,0.098
675,0.391
676,0.684
677,1.124
678,1.320
679,1.271
680,1.026
681,0.635
682,0.244
683,0.098
684,0.244
685,0.587
686,0.929
687,1.222
688,1.271
689,1.075
690,0.684
691,0.342
692,0.147
693,0.244
694,0.489
695,0.880
696,1.222
697,1.222
698,1.075
699,0.831
700,0.440
701,0.244
702,0.293
703,0.489
704,0.831
705,1.026
706,1.124
707,1.075
708,0.831
709,0.538
710,0.391
711,0.342
712,0.489
713,0.684
714,0.929
715,1.026
716,0.978
717,0.880
718,0.684
719,0.489
720,0.440
721,0.440
722,0.587
723,0.782
724,0.831
725,0.929
726,0.880
727,0.831
728,0.684
729,0.538
730,0.538
731,0.635
732,0.782
733,0.880
734,0.831
735,0.782
736,0.684
737,0.587
738,0.587
739,0.684
740,0.733
741,0.831
742,0.880
743,0.831
744,0.733
745,0.587
746,0.538
747,0.538
748,0.635
749,0.782
750,0.929
751,0.929
752,0.880
753,0.684
754,0.489
755,0.440
756,0.489
757,0.684
758,0.929
759,1.026
760,0.978
761,0.831
