Indice,Voltagem
0,3.47019
1,4.93646
2,6.40274
3,5.96285
4,4.10557
5,3.86119
6,5.03421
7,5.86510
8,5.62072
9,4.74096
10,4.05670
11,4.44770
12,5.76735
13,6.30499
14,5.96285
15,3.76344
16,3.47019
17,5.08309
18,6.74487
19,5.76735
20,2.88368
21,4.69208
22,6.94037
23,6.54936
24,3.61681
25,3.32356
26,5.18084
27,7.08700
28,5.86510
29,3.27468
30,3.27468
31,5.22972
32,6.54936
33,5.47410
34,3.66569
35,4.10557
36,5.81623
37,5.57185
38,4.83871
39,4.20332
40,4.15445
41,5.57185
42,6.15836
43,5.57185
44,4.05670
45,3.47019
46,5.03421
47,6.89150
48,5.37634
49,4.30108
50,3.27468
51,6.45161
52,7.18475
53,3.66569
54,2.73705
55,4.78983
56,6.74487
57,7.03812
58,6.15836
59,3.42131
60,3.37243
61,5.91398
62,5.76735
63,3.66569
64,3.86119
65,5.08309
66,5.91398
67,4.83871
68,4.00782
69,4.49658
70,5.32747
71,6.06061
72,5.96285
73,4.59433
74,3.56794
75,4.20332
76,6.35386
77,6.84262
78,4.93646
79,2.98143
80,4.74096
81,7.18475
82,4.00782
83,3.12805
84,5.62072
85,7.13587
86,5.86510
87,4.20332
88,3.07918
89,4.78983
90,6.69599
91,5.91398
92,4.10557
93,3.66569
94,4.78983
95,5.96285
96,5.47410
97,4.49658
98,4.10557
99,4.39883
100,5.08309
101,6.06061
102,5.96285
103,4.39883
104,3.56794
105,5.66960
106,6.64712
107,4.69208
108,3.07918
109,3.47019
110,6.25611
111,6.98925
112,4.78983
113,2.78592
114,5.27859
115,7.13587
116,5.08309
117,2.98143
118,4.98534
119,6.74487
120,5.81623
121,4.10557
122,3.56794
123,4.44770
124,5.66960
125,6.01173
126,5.08309
127,4.20332
128,4.34995
129,5.32747
130,6.01173
131,5.18084
132,3.86119
133,4.10557
134,5.66960
135,6.64712
136,5.62072
137,3.42131
138,3.32356
139,5.62072
140,7.23363
141,5.62072
142,3.03030
143,2.98143
144,4.64321
145,7.18475
146,6.01173
147,3.66569
148,3.27468
149,5.81623
150,6.64712
151,4.69208
152,3.56794
153,4.74096
154,6.06061
155,5.86510
156,4.88759
157,4.20332
158,4.54545
159,5.37634
160,6.01173
161,5.42522
162,4.25220
163,3.81232
164,4.98534
165,6.45161
166,6.25611
167,3.95894
168,3.17693
169,5.42522
170,7.28250
171,5.71847
172,2.98143
173,4.25220
174,6.35386
175,7.08700
176,5.03421
177,2.88368
178,3.56794
179,6.59824
180,6.59824
181,4.93646
182,3.47019
183,4.59433
184,6.25611
185,5.71847
186,4.49658
187,4.20332
188,4.88759
189,5.91398
190,5.76735
191,4.83871
192,3.91007
193,4.44770
194,6.35386
195,6.50049
196,4.54545
197,3.12805
198,4.39883
199,6.89150
200,6.01173
201,3.42131
202,3.12805
203,5.86510
204,7.33138
205,5.91398
206,3.42131
207,3.81232
208,6.30499
209,6.79374
210,4.54545
211,3.37243
212,4.64321
213,5.86510
214,6.06061
215,4.78983
216,4.15445
217,4.69208
218,5.52297
219,6.06061
220,5.47410
221,4.00782
222,4.34995
223,6.15836
224,6.20723
225,3.91007
226,3.27468
227,5.86510
228,7.23363
229,5.13196
230,2.83480
231,3.61681
232,5.91398
233,7.38025
234,6.25611
235,3.47019
236,3.51906
237,5.52297
238,6.94037
239,4.74096
240,3.47019
241,4.54545
242,6.10948
243,6.06061
244,4.83871
245,4.00782
246,4.44770
247,5.57185
248,5.91398
249,5.42522
250,4.15445
251,3.91007
252,4.98534
253,6.50049
254,5.71847
255,3.76344
256,3.37243
257,5.62072
258,7.23363
259,5.76735
260,3.61681
261,2.83480
262,4.88759
263,7.38025
264,5.71847
265,2.88368
266,4.44770
267,7.08700
268,6.30499
269,4.49658
270,3.32356
271,4.64321
272,6.30499
273,6.30499
274,4.69208
275,4.10557
276,4.69208
277,5.71847
278,5.96285
279,5.52297
280,4.44770
281,3.95894
282,5.22972
283,6.59824
284,5.76735
285,3.51906
286,3.95894
287,6.69599
288,7.08700
289,4.39883
290,2.78592
291,3.51906
292,5.81623
293,7.28250
294,4.64321
295,2.83480
296,4.59433
297,7.13587
298,6.30499
299,3.76344
300,3.61681
301,5.76735
302,6.45161
303,5.32747
304,4.15445
305,4.30108
306,5.22972
307,5.96285
308,5.81623
309,4.93646
310,4.00782
311,4.78983
312,6.20723
313,6.01173
314,3.81232
315,3.66569
316,6.59824
317,6.74487
318,4.05670
319,2.83480
320,4.54545
321,6.84262
322,6.98925
323,5.13196
324,3.07918
325,3.71457
326,6.50049
327,6.64712
328,4.10557
329,3.51906
330,5.08309
331,6.54936
332,5.71847
333,4.25220
334,3.95894
335,5.13196
336,5.96285
337,5.76735
338,4.88759
339,4.05670
340,4.49658
341,5.96285
342,6.50049
343,4.83871
344,3.37243
345,4.88759
346,7.13587
347,6.01173
348,3.32356
349,3.61681
350,6.54936
351,6.89150
352,3.76344
353,2.78592
354,4.34995
355,7.03812
356,6.50049
357,3.95894
358,3.51906
359,5.86510
360,6.69599
361,5.22972
362,3.95894
363,4.54545
364,5.71847
365,6.01173
366,5.37634
367,4.44770
368,4.20332
369,4.78983
370,6.15836
371,6.40274
372,4.78983
373,3.42131
374,4.49658
375,6.79374
376,6.74487
377,3.91007
378,3.03030
379,5.57185
