Indice,Voltagem
0,1.61290
1,1.56403
2,0.83089
3,0.29326
4,1.17302
5,1.71065
6,1.17302
7,0.53763
8,0.24438
9,1.17302
10,1.75953
11,1.31965
12,0.39101
13,0.53763
14,1.56403
15,1.61290
16,0.78201
17,0.39101
18,1.56403
19,1.61290
20,0.87977
21,0.24438
22,0.87977
23,1.66178
24,1.51515
25,0.73314
26,0.24438
27,0.97752
28,1.71065
29,1.51515
30,0.78201
31,0.29326
32,0.34213
33,0.97752
34,1.66178
35,1.36852
36,0.39101
37,0.39101
38,1.17302
39,1.75953
40,1.27077
41,0.39101
42,0.58651
43,1.41740
44,1.71065
45,1.07527
46,0.39101
47,0.34213
48,1.31965
49,1.71065
50,1.27077
51,0.39101
52,0.43988
53,1.31965
54,1.66178
55,0.83089
56,0.24438
57,0.43988
58,1.31965
59,1.71065
60,0.87977
61,0.24438
62,0.58651
63,1.41740
64,1.71065
65,0.87977
66,0.24438
67,0.78201
68,1.51515
69,1.75953
70,1.17302
71,0.34213
72,0.34213
73,1.17302
74,1.71065
75,1.46628
76,0.63539
77,0.39101
78,0.97752
79,1.71065
80,0.87977
81,0.24438
82,0.87977
83,1.71065
84,1.36852
85,0.39101
86,0.39101
87,0.73314
88,1.41740
89,1.66178
90,0.68426
91,0.24438
92,1.07527
93,1.75953
94,1.41740
95,0.43988
96,0.29326
97,1.12414
98,1.71065
99,1.17302
100,0.43988
101,0.19550
102,0.92864
103,1.71065
104,1.46628
105,0.39101
106,0.24438
107,0.43988
108,1.31965
109,1.71065
110,0.78201
111,0.19550
112,0.68426
113,1.56403
114,1.66178
115,0.58651
116,0.29326
117,1.07527
118,1.75953
119,0.92864
120,0.19550
121,0.78201
122,1.71065
123,1.56403
124,0.78201
125,0.24438
126,0.53763
127,1.46628
128,1.61290
129,0.58651
130,0.19550
131,0.78201
132,1.66178
133,1.66178
134,0.87977
135,0.19550
136,0.78201
137,1.17302
138,1.75953
139,0.92864
140,0.39101
141,0.29326
142,0.68426
143,1.66178
144,1.31965
145,0.43988
146,0.19550
147,0.68426
148,1.71065
149,1.36852
150,0.43988
151,0.39101
152,1.02639
153,1.75953
154,1.07527
155,0.68426
156,0.19550
157,1.22190
158,1.56403
159,0.68426
160,0.24438
161,0.68426
162,1.66178
163,1.31965
164,0.48876
165,0.34213
166,1.56403
167,1.61290
168,1.12414
169,0.29326
170,0.34213
171,0.97752
172,1.61290
173,0.87977
174,0.29326
175,0.19550
176,1.12414
177,1.75953
178,0.83089
179,0.19550
180,0.43988
181,1.66178
182,1.66178
183,1.02639
184,0.19550
185,0.53763
186,1.36852
187,1.75953
188,0.97752
189,0.34213
190,0.34213
191,1.31965
192,1.71065
193,1.07527
194,0.19550
195,0.63539
196,1.56403
197,1.66178
198,0.97752
199,0.19550
200,0.43988
201,1.17302
202,1.71065
203,1.07527
204,0.24438
205,0.68426
206,1.71065
207,1.27077
208,0.39101
209,0.19550
210,0.63539
211,1.41740
212,1.71065
213,0.73314
214,0.19550
215,0.68426
216,1.36852
217,1.71065
218,0.48876
219,0.24438
220,0.97752
221,1.75953
222,1.51515
223,0.58651
224,0.24438
225,1.12414
226,1.71065
227,1.12414
228,0.39101
229,0.19550
230,0.87977
231,1.66178
232,1.36852
233,0.53763
234,0.19550
235,1.02639
236,1.71065
237,1.22190
238,0.29326
239,0.43988
240,1.31965
241,1.75953
242,1.36852
243,0.63539
244,0.19550
245,1.12414
246,1.75953
247,1.27077
248,0.24438
249,0.48876
250,1.31965
251,1.66178
252,0.83089
253,0.24438
254,0.58651
255,1.46628
256,1.66178
257,0.58651
258,0.19550
259,0.58651
